zip_code,lat,lng,housing_score,tax_score,healthcare_score,overall_score,borough,transit_score,social_score,grocery_score,data_quality,rental_count
10465,40.8286,-73.82179,89,86.54042069,31.46954955,74,Bronx,0,0,0,Housing Only,0
10466,40.89104,-73.8461,89,93.92144324,31.16954955,76,Bronx,0,0,0,Housing Only,0
10467,40.87522,-73.872,93,93.30828154,29.78069123,77,Bronx,0,0,0,Housing Only,0
10468,40.8681,-73.89985,96,95.6823013,29.10954955,79,Bronx,0,0,0,Housing Only,0
10469,40.86851,-73.84666,89,89.96041496,31.30954955,74,Bronx,0,0,0,Housing Only,0
10470,40.89598,-73.86805,89,91.5993916,31.72954955,75,Bronx,0,0,0,Housing Only,0
10471,40.90002,-73.9067,93,72.55177255,32.52954955,73,Bronx,0,0,0,Housing Only,0
10472,40.82968,-73.86942,89,96.49162905,29.04954955,75,Bronx,0,0,0,Housing Only,0
10473,40.81817,-73.85889,91,94.38768912,30.02954955,76,Bronx,0,0,0,Housing Only,0
10474,40.81061,-73.8846,92,100.0,28.56954955,78,Bronx,0,0,0,Housing Only,0
10475,40.87528,-73.82702,92,94.19391419,31.52954955,77,Bronx,0,0,0,Housing Only,0
11001,40.72356,-73.70451,86,70.31941032,32.52954955,68,Queens,0,0,0,Housing Only,0
11003,40.70143,-73.7078,88,89.90898709,31.70954955,74,Queens,0,0,0,Housing Only,0
11004,40.74621,-73.71147,90,55.54715555,32.26954955,67,Queens,0,0,0,Housing Only,0
11005,40.75661,-73.71424,92,100.0,32.94954955,79,Queens,0,0,0,Housing Only,0
11201,40.69477,-73.99031,13,59.91713639,24.47690139,41,Brooklyn,78,82,90,Full Data,10
11203,40.64958,-73.93431,62,93.69369369,24.47094366,61,Brooklyn,56,47,82,Full Data,8
11204,40.61883,-73.98496,80,67.48427935,31.20954955,64,Brooklyn,0,0,0,Housing Only,0
11205,40.69654,-73.96807,83,70.92065327,31.28954955,67,Brooklyn,0,0,0,Housing Only,0
11206,40.7019,-73.94254,82,77.77027027,30.05439576,68,Brooklyn,0,0,0,Housing Only,0
11207,40.67016,-73.89383,89,93.68700797,29.98954955,75,Brooklyn,0,0,0,Housing Only,0
11208,40.67481,-73.87243,88,93.92119392,29.68954955,75,Brooklyn,0,0,0,Housing Only,0
11209,40.62175,-74.03013,87,71.79018342,32.12954955,69,Brooklyn,0,0,0,Housing Only,0
11210,40.62801,-73.94631,85,76.86433362,31.82954955,69,Brooklyn,0,0,0,Housing Only,0
11211,40.71428,-73.94602,77,66.72516673,31.22954955,63,Brooklyn,0,0,0,Housing Only,0
11212,40.6629,-73.91308,89,93.44985481,20.18587618,73,Brooklyn,0,0,0,Housing Only,0
11213,40.67117,-73.93632,82,87.31616992,31.14954955,70,Brooklyn,0,0,0,Housing Only,0
11214,40.59928,-73.99644,87,66.42460642,31.36954955,68,Brooklyn,0,0,0,Housing Only,0
11215,40.66255,-73.98687,75,45.10201902,32.72954955,57,Brooklyn,0,0,0,Housing Only,0
11216,40.68085,-73.94929,80,77.98107585,31.74954955,67,Brooklyn,0,0,0,Housing Only,0
11217,40.68242,-73.97943,74,57.89075789,32.24954955,59,Brooklyn,0,0,0,Housing Only,0
11218,40.64315,-73.97645,84,73.79996404,31.44954955,68,Brooklyn,0,0,0,Housing Only,0
11219,40.63267,-73.99672,80,72.04377932,20.19434325,63,Brooklyn,0,0,0,Housing Only,0
11220,40.64142,-74.01741,84,86.88574939,29.08954955,71,Brooklyn,0,0,0,Housing Only,0
11221,40.6914,-73.92764,81,86.50128771,30.42954955,70,Brooklyn,0,0,0,Housing Only,0
11222,40.72862,-73.94764,75,66.97606698,32.30954955,62,Brooklyn,0,0,0,Housing Only,0
11223,40.59711,-73.97344,82,64.09468909,31.44954955,65,Brooklyn,0,0,0,Housing Only,0
11224,40.57652,-73.9891,91,68.07507955,31.14954955,70,Brooklyn,0,0,0,Housing Only,0
11225,40.6631,-73.95392,81,82.91266473,31.62954955,69,Brooklyn,0,0,0,Housing Only,0
11226,40.64636,-73.95666,86,89.8177247,31.14954955,73,Brooklyn,0,0,0,Housing Only,0
11228,40.61678,-74.01337,80,65.47092547,31.74954955,64,Brooklyn,0,0,0,Housing Only,0
11229,40.60047,-73.94453,87,61.31796132,22.22074291,64,Brooklyn,0,0,0,Housing Only,0
11230,40.6221,-73.96525,85,71.24890684,31.80954955,68,Brooklyn,0,0,0,Housing Only,0
11231,40.67603,-74.00644,70,57.45605746,32.00954955,57,Brooklyn,0,0,0,Housing Only,0
11232,40.65692,-74.00727,86,83.82714265,29.48954955,71,Brooklyn,0,0,0,Housing Only,0
11233,40.67827,-73.91994,82,91.12545381,30.82954955,71,Brooklyn,0,0,0,Housing Only,0
11234,40.6072,-73.91107,87,77.91824883,32.04954955,71,Brooklyn,0,0,0,Housing Only,0
11235,40.58411,-73.94331,90,69.73692096,22.35699628,68,Brooklyn,0,0,0,Housing Only,0
11236,40.63951,-73.90098,89,94.18245225,31.56954955,76,Brooklyn,0,0,0,Housing Only,0
11237,40.70427,-73.92108,82,89.85446985,21.03165724,68,Brooklyn,0,0,0,Housing Only,0
11238,40.67105,-73.96636,80,65.52334152,32.36954955,64,Brooklyn,0,0,0,Housing Only,0
11239,40.64733,-73.87136,89,92.38329238,30.72954955,75,Brooklyn,0,0,0,Housing Only,0
